,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
popularity,1,-0.381295310430891,0.25656447483815265,0.002348020327216928,0.24892176638618113,-0.2109831072823556,-0.1679951900290048,0.3630107359430853,-0.1510758181683716,0.08103890832432392,0.06007629393032004
acousticness,0,1,-0.3645455911764472,0.011202958334248768,-0.7255763647090522,0.31615410635560576,0.0690035297896803,-0.6902016781631773,0.1509349379029601,-0.23824736493437557,-0.32579820331286785
danceability,0,0,1,-0.12578071381474892,0.325806991883016,-0.36494120723814855,-0.041683836598257286,0.4386684836338138,0.13455995837540352,0.021939108547492016,0.5471540203821234
duration_ms,0,0,0,1,-0.030549813192002635,0.07602064181586574,0.023782617308189483,-0.047617825933906774,-0.016171409219768857,-0.028456097518417173,-0.14181119157022762
energy,0,0,0,0,1,-0.37895694784522355,0.19280085994473337,0.816087966998732,0.14511980224693105,0.22877413128387347,0.4367711774372471
instrumentalness,0,0,0,0,0,1,-0.13419770900933184,-0.5063201701208067,-0.1771474481272017,-0.10413303283400743,-0.3075218467043863
liveness,0,0,0,0,0,0,1,0.045685710208905016,0.510146516867823,-0.05135460024571315,0.01180437354682275
loudness,0,0,0,0,0,0,0,1,-0.0022727686815091287,0.22836365238381628,0.39990135530888954
speechiness,0,0,0,0,0,0,0,0,1,-0.08154054080324953,0.023841621523847105
tempo,0,0,0,0,0,0,0,0,0,1,0.1348572251047357
valence,0,0,0,0,0,0,0,0,0,0,1
